,PlayerID,PlayerName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
712,3558,Brad Guzan,Goalkeeper,13757.0,0.0,11.0,4.0,0.0,15.0
717,4852,Adrián,Goalkeeper,12363.0,2.0,12.0,1.0,0.0,15.0
691,4330,David de Gea,Goalkeeper,33869.0,0.0,14.0,0.0,1.0,15.0
995,1211,Wes Brown,Defender,11958.0,4.0,4.0,3.0,4.0,15.0
1802,4135,Jonjo Shelvey,Midfielder,19099.0,5.0,7.0,2.0,1.0,15.0
965,4606,José Fonte,Defender,15526.0,1.0,4.0,10.0,0.0,15.0
907,2053,Robert Huth,Defender,23158.0,1.0,3.0,8.0,3.0,15.0
896,3955,Kyle Walker,Defender,28823.0,1.0,6.0,5.0,2.0,14.0
716,2250,Scott Carson,Goalkeeper,9246.0,1.0,10.0,2.0,1.0,14.0
910,3517,James Tomkins,Defender,22797.0,2.0,7.0,5.0,0.0,14.0
723,4601,Artur Boruc,Goalkeeper,11443.0,0.0,13.0,1.0,0.0,14.0
709,2569,Wayne Hennessey,Goalkeeper,16370.0,0.0,13.0,0.0,1.0,14.0
707,1404,Paul Robinson,Goalkeeper,14966.0,0.0,12.0,2.0,0.0,14.0
979,8045,Steve Cook,Defender,14598.0,1.0,6.0,4.0,3.0,14.0
952,2935,Nemanja Vidic,Defender,15084.0,6.0,4.0,3.0,1.0,14.0
955,3734,Jonas Olsson,Defender,17080.0,1.0,6.0,3.0,4.0,14.0
701,1342,Jussi Jääskeläinen,Goalkeeper,19143.0,1.0,8.0,4.0,1.0,14.0
1028,8044,Simon Francis,Defender,11226.0,4.0,5.0,4.0,0.0,13.0
1003,2634,Ryan Nelsen,Defender,11806.0,3.0,2.0,7.0,1.0,13.0
954,3613,Chris Smalling,Defender,17116.0,1.0,4.0,4.0,4.0,13.0
1853,3799,Fabian Delph,Midfielder,14262.0,3.0,7.0,1.0,2.0,13.0
953,5672,Federico Fernández,Defender,17166.0,0.0,3.0,5.0,5.0,13.0
950,2002,Kolo Touré,Defender,14171.0,1.0,7.0,3.0,2.0,13.0
945,4437,Gareth McAuley,Defender,17710.0,2.0,3.0,3.0,5.0,13.0
914,3653,Vincent Kompany,Defender,22268.0,3.0,4.0,3.0,3.0,13.0
726,1751,Thomas Sørensen,Goalkeeper,8655.0,0.0,10.0,1.0,1.0,12.0
719,252,David James,Goalkeeper,8624.0,0.0,10.0,2.0,0.0,12.0
744,2834,Vito Mannone,Goalkeeper,7337.0,0.0,12.0,0.0,0.0,12.0
1011,3506,Alan Hutton,Defender,12023.0,3.0,3.0,3.0,3.0,12.0
925,4198,Craig Dawson,Defender,20384.0,2.0,1.0,6.0,3.0,12.0
908,2517,Phil Bardsley,Defender,22711.0,2.0,2.0,4.0,4.0,12.0
906,3654,Pablo Zabaleta,Defender,24380.0,4.0,1.0,5.0,2.0,12.0
920,4403,Ashley Williams,Defender,21260.0,2.0,5.0,5.0,0.0,12.0
984,3956,Kyle Naughton,Defender,14205.0,3.0,4.0,2.0,2.0,11.0
938,915,Jamie Carragher,Defender,15441.0,1.0,1.0,6.0,3.0,11.0
1824,2847,Craig Gardner,Midfielder,15404.0,4.0,2.0,4.0,1.0,11.0
967,8163,Lewis Dunk,Defender,15310.0,4.0,2.0,0.0,5.0,11.0
1856,3471,Marc Wilson,Midfielder,14175.0,2.0,5.0,3.0,1.0,11.0
1774,3014,Mark Noble,Midfielder,30867.0,5.0,4.0,1.0,1.0,11.0
934,3680,Fabricio Coloccini,Defender,18638.0,4.0,3.0,2.0,2.0,11.0
1006,2728,Nedum Onuoha,Defender,11323.0,1.0,2.0,5.0,3.0,11.0
718,20559,Alisson,Goalkeeper,12175.0,1.0,8.0,1.0,1.0,11.0
1007,9257,Jamaal Lascelles,Defender,12582.0,1.0,4.0,4.0,2.0,11.0
927,4112,Eric Dier,Defender,19869.0,0.0,6.0,4.0,1.0,11.0
962,3507,Danny Rose,Defender,15915.0,2.0,6.0,3.0,0.0,11.0
738,2607,Manuel Almunia,Goalkeeper,8808.0,0.0,8.0,3.0,0.0,11.0
902,2148,Glen Johnson,Defender,23599.0,1.0,3.0,4.0,2.0,10.0
1773,1308,Gareth Barry,Midfielder,30091.0,3.0,3.0,3.0,1.0,10.0
1775,2100,James Milner,Midfielder,28956.0,3.0,3.0,3.0,1.0,10.0
918,3010,James Collins,Defender,20302.0,2.0,3.0,3.0,2.0,10.0
966,4505,John Stones,Defender,15443.0,1.0,8.0,1.0,0.0,10.0
904,2413,Gaël Clichy,Defender,22794.0,1.0,4.0,4.0,1.0,10.0
698,2911,Pepe Reina,Goalkeeper,20603.0,1.0,6.0,2.0,1.0,10.0
901,2125,Sylvain Distin,Defender,22786.0,0.0,5.0,4.0,1.0,10.0
1869,4081,Charlie Adam,Midfielder,13212.0,4.0,4.0,0.0,2.0,10.0
982,8966,Wes Morgan,Defender,14328.0,3.0,2.0,3.0,2.0,10.0
1025,19589,Jan Bednarek,Defender,11367.0,1.0,3.0,3.0,3.0,10.0
989,1890,Titus Bramble,Defender,12419.0,1.0,4.0,3.0,2.0,10.0
992,2075,Zat Knight,Defender,11795.0,1.0,5.0,3.0,1.0,10.0
1046,8900,Tyrone Mings,Defender,10148.0,1.0,4.0,2.0,3.0,10.0
1000,3239,Benoit Assou-Ekotto,Defender,11736.0,2.0,4.0,4.0,0.0,10.0
1037,1911,Damien Delaney,Defender,10701.0,1.0,3.0,3.0,3.0,10.0
961,2867,Martin Olsson,Defender,15934.0,2.0,4.0,3.0,1.0,10.0
710,12707,Ederson,Goalkeeper,16257.0,1.0,6.0,3.0,0.0,10.0
737,4985,Bernd Leno,Goalkeeper,8977.0,1.0,8.0,0.0,1.0,10.0
751,4779,Maarten Stekelenburg,Goalkeeper,4896.0,0.0,9.0,0.0,1.0,10.0
725,4911,Thibaut Courtois,Goalkeeper,11224.0,2.0,3.0,5.0,0.0,10.0
1128,4248,Carl Jenkinson,Defender,6621.0,3.0,2.0,4.0,1.0,10.0
697,2508,Kasper Schmeichel,Goalkeeper,25504.0,0.0,7.0,0.0,2.0,9.0
924,2805,Michael Dawson,Defender,17378.0,1.0,5.0,2.0,1.0,9.0
720,3170,Fraser Forster,Goalkeeper,11984.0,0.0,8.0,1.0,0.0,9.0
1115,2609,Johan Djourou,Defender,5454.0,1.0,3.0,4.0,1.0,9.0
898,4496,César Azpilicueta,Defender,27855.0,2.0,1.0,3.0,3.0,9.0
724,6451,Martin Dúbravka,Goalkeeper,11430.0,0.0,9.0,0.0,0.0,9.0
949,9566,Harry Maguire,Defender,17400.0,2.0,3.0,3.0,1.0,9.0
1094,26216,Çaglar Söyüncü,Defender,7723.0,1.0,3.0,5.0,0.0,9.0
1048,20224,Davinson Sánchez,Defender,10021.0,1.0,2.0,4.0,2.0,9.0
1785,1575,Steven Gerrard,Midfielder,19763.0,1.0,4.0,2.0,2.0,9.0
1196,3624,Kamil Zayatte,Defender,4613.0,0.0,2.0,3.0,4.0,9.0
1797,4804,Fernandinho,Midfielder,20174.0,4.0,0.0,4.0,1.0,9.0
968,2279,Stephen Warnock,Defender,14012.0,0.0,5.0,3.0,1.0,9.0
1814,2991,Tom Huddlestone,Midfielder,16095.0,5.0,1.0,2.0,1.0,9.0
972,3160,Craig Cathcart,Defender,15061.0,0.0,5.0,0.0,4.0,9.0
1855,20479,Wilfred Ndidi,Midfielder,14191.0,2.0,1.0,6.0,0.0,9.0
1867,5859,Luka Milivojevic,Midfielder,13381.0,1.0,5.0,2.0,1.0,9.0
963,3029,Paul Scharner,Defender,13828.0,1.0,5.0,2.0,1.0,9.0
703,1420,Brad Friedel,Goalkeeper,18154.0,1.0,7.0,1.0,0.0,9.0
939,4821,Erik Pieters,Defender,18297.0,0.0,5.0,3.0,1.0,9.0
999,4813,Dejan Lovren,Defender,13163.0,0.0,7.0,2.0,0.0,9.0
933,4333,Michael Keane,Defender,18658.0,1.0,3.0,2.0,3.0,9.0
1009,4605,Maya Yoshida,Defender,12386.0,1.0,6.0,1.0,0.0,8.0
974,5514,Angelo Ogbonna,Defender,15036.0,0.0,2.0,5.0,1.0,8.0
916,8897,Aaron Cresswell,Defender,22143.0,1.0,6.0,1.0,0.0,8.0
997,3251,Adrian Mariappa,Defender,12022.0,1.0,4.0,2.0,1.0,8.0
1798,2704,Mikel Arteta,Midfielder,16739.0,3.0,1.0,2.0,2.0,8.0
1024,3512,Adam Smith,Defender,11410.0,1.0,1.0,5.0,1.0,8.0
1023,4340,Paul Dummett,Defender,11416.0,1.0,2.0,3.0,2.0,8.0
937,3524,Maynor Figueroa,Defender,18433.0,1.0,4.0,3.0,0.0,8.0
1022,4024,Mike Williamson,Defender,11497.0,2.0,3.0,3.0,0.0,8.0
977,3070,Christopher Samba,Defender,13668.0,3.0,0.0,4.0,1.0,8.0
1341,4610,Jos Hooiveld,Defender,2303.0,0.0,2.0,2.0,4.0,8.0
981,4183,Ahmed El Mohamady,Defender,14375.0,1.0,2.0,4.0,1.0,8.0
1005,1131,Matt Upson,Defender,12641.0,0.0,2.0,4.0,2.0,8.0
1807,3604,Marouane Fellaini,Midfielder,18688.0,3.0,1.0,4.0,0.0,8.0
1865,4136,Conor Coady,Midfielder,13508.0,0.0,3.0,2.0,3.0,8.0
1900,2890,Michael Essien,Midfielder,7931.0,2.0,3.0,2.0,1.0,8.0
971,2393,Anton Ferdinand,Defender,12480.0,0.0,3.0,2.0,3.0,8.0
1148,3561,Nathan Baker,Defender,6053.0,0.0,3.0,2.0,3.0,8.0
1899,4816,Victor Wanyama,Midfielder,10910.0,3.0,5.0,0.0,0.0,8.0
1187,4651,Chico Flores,Defender,4931.0,3.0,2.0,2.0,1.0,8.0
1054,5713,José Holebas,Defender,9653.0,1.0,3.0,4.0,0.0,8.0
1057,3806,Roger Johnson,Defender,9423.0,0.0,2.0,3.0,3.0,8.0
1045,2129,Chris Baird,Defender,10154.0,1.0,0.0,3.0,4.0,8.0
715,10079,Nick Pope,Goalkeeper,12654.0,0.0,5.0,3.0,0.0,8.0
957,2669,Emmerson Boyce,Defender,13651.0,1.0,2.0,4.0,1.0,8.0
734,2871,Ali Al Habsi,Goalkeeper,9990.0,0.0,6.0,1.0,1.0,8.0
