PlayerID,pensconceded
1890,2
332,2
2711,2
3740,2
3172,2
3569,2
1342,2
2148,2
2078,2
2100,2
2018,2
1664,2
2607,1
2584,1
2704,1
3513,1
3681,1
3757,1
3465,1
1306,1
2058,1
3680,1
3719,1
2583,1
2080,1
2289,1
2125,1
2609,1
2934,1
1111,1
1420,1
2054,1
3427,1
2758,1
3394,1
1371,1
2127,1
3107,1
1359,1
1515,1
2619,1
3137,1
2574,1
2751,1
2738,1
2011,1
2755,1
2634,1
921,1
2974,1
3705,1
2867,1
3734,1
2728,1
3053,1
2911,1
3015,1
2925,1
3623,1
1505,1
336,1
3158,1
3193,1
3349,1
3154,1
2323,1
3517,1
2839,1
2279,1
2749,1
1565,1
1464,1
3624,1
