PlayerID,pensconceded
5865,4
4198,3
9117,3
9257,3
15715,3
19970,2
24659,2
50165,2
20479,2
20745,2
26216,2
5467,2
11419,2
4093,1
11347,1
3314,1
4496,1
9762,1
8246,1
25540,1
19589,1
50245,1
16204,1
26408,1
8945,1
16642,1
13344,1
14575,1
13491,1
3562,1
3622,1
7336,1
8897,1
8148,1
9251,1
4408,1
24156,1
3309,1
2932,1
24221,1
13702,1
7548,1
14569,1
10000,1
10947,1
8589,1
4717,1
14571,1
54900,1
13522,1
13089,1
13274,1
22866,1
2270,1
16640,1
49992,1
33061,1
14824,1
54889,1
5859,1
8900,1
9662,1
25467,1
23556,1
7975,1
21297,1
66635,1
3507,1
51775,1
12707,1
11259,1
4608,1
76261,1
4815,1
3724,1
21612,1
20486,1
66094,1
4874,1
20109,1
14164,1
4489,1
14548,1
12136,1
