PlayerID,pensconceded
4606,3
3222,3
4835,2
2651,2
2413,2
19621,2
3604,2
8044,2
2991,2
4804,2
3909,2
10458,2
3158,2
3512,2
4558,2
12136,2
5490,1
9595,1
12937,1
2517,1
13490,1
2886,1
5668,1
2620,1
4620,1
12365,1
9100,1
3549,1
4911,1
3719,1
3242,1
3807,1
2997,1
2423,1
2805,1
10423,1
1911,1
11002,1
4183,1
19601,1
3309,1
7564,1
5672,1
13387,1
9163,1
6210,1
3558,1
11575,1
2053,1
15481,1
3820,1
4333,1
4656,1
15608,1
4030,1
5861,1
4842,1
2613,1
3244,1
4487,1
9566,1
6519,1
4245,1
11284,1
5375,1
9960,1
4437,1
2100,1
4472,1
7219,1
8966,1
4645,1
3956,1
20708,1
3316,1
13821,1
5514,1
3920,1
13822,1
4405,1
3811,1
4696,1
3157,1
4612,1
4316,1
10498,1
3362,1
4877,1
4403,1
4605,1
