PlayerID,pensconceded
4248,3
3681,2
4158,2
3744,2
4843,2
2949,2
4797,2
4911,2
3719,2
1911,2
8044,2
2516,2
3861,2
5514,2
10483,1
9943,1
4916,1
9595,1
4823,1
3765,1
4601,1
1211,1
4634,1
4636,1
3175,1
3562,1
4313,1
3680,1
8045,1
4606,1
4198,1
2341,1
8046,1
1943,1
13387,1
2942,1
10651,1
5713,1
3506,1
4766,1
13492,1
3926,1
5365,1
9257,1
7198,1
3251,1
4349,1
5850,1
4437,1
4472,1
7219,1
8966,1
13821,1
2550,1
1717,1
10832,1
4319,1
9895,1
10472,1
4347,1
8980,1
4185,1
3158,1
4549,1
3404,1
3613,1
2837,1
4316,1
4505,1
4402,1
4560,1
4666,1
4489,1
2299,1
4403,1
4130,1
