PlayerID,pensconceded
1131,3
3239,2
1308,2
1673,2
2669,2
918,2
1732,2
2259,2
915,2
3719,2
1391,2
1184,2
3518,2
2053,2
3833,2
1677,2
2634,2
3527,2
1780,2
3796,2
3624,2
3991,2
2607,1
2129,1
3240,1
3681,1
3695,1
2645,1
3989,1
3465,1
3189,1
1361,1
1890,1
557,1
2945,1
1175,1
3603,1
2651,1
1494,1
3010,1
2976,1
3962,1
3807,1
1249,1
3659,1
2711,1
2125,1
3618,1
3845,1
2195,1
2393,1
1575,1
3361,1
1881,1
3196,1
3506,1
252,1
3806,1
2574,1
2887,1
3136,1
3843,1
1756,1
2206,1
3723,1
2974,1
2728,1
3664,1
3053,1
3939,1
2307,1
2925,1
3623,1
1505,1
2007,1
2653,1
1719,1
3613,1
2837,1
3193,1
2485,1
1353,1
2002,1
2217,1
2935,1
3955,1
2279,1
3471,1
