PlayerID,pensconceded
2574,3
3807,2
4766,2
4486,2
4550,1
8242,1
2537,1
4474,1
4205,1
7934,1
4788,1
1211,1
2624,1
2620,1
4636,1
5001,1
2936,1
3600,1
3010,1
4606,1
4546,1
4802,1
4112,1
3925,1
3835,1
4340,1
7215,1
2932,1
4554,1
3558,1
2516,1
3222,1
4248,1
3820,1
2523,1
3508,1
3653,1
1515,1
4030,1
4842,1
3137,1
3244,1
4813,1
5334,1
2359,1
3861,1
4224,1
3979,1
8966,1
2529,1
3956,1
3478,1
1717,1
4719,1
2728,1
3664,1
4074,1
10527,1
4405,1
4209,1
10488,1
4827,1
3507,1
4608,1
3158,1
4135,1
3157,1
2837,1
10444,1
10523,1
1353,1
3517,1
2835,1
5696,1
4617,1
4396,1
4989,1
3654,1
