PlayerID,minutes
3957,3420
3558,3420
4179,3420
2896,3420
4766,3389
3014,3343
4330,3330
4664,3330
4726,3330
2664,3330
3543,3330
4183,3329
2997,3326
3158,3292
4636,3285
1911,3285
2516,3263
3169,3240
3929,3240
2007,3233
3600,3229
3404,3222
4606,3181
3360,3180
4246,3150
2991,3144
3712,3128
4618,3100
4481,3081
4489,3081
3751,3079
3654,3079
2651,3060
3311,3060
1353,3060
3244,3054
3821,3041
4403,3040
4549,3034
3799,3003
4608,2992
2867,2965
4138,2964
4148,2927
2125,2925
1717,2922
4024,2912
4821,2902
1575,2900
4503,2895
2934,2884
2537,2880
4408,2873
4733,2873
2013,2868
4437,2860
3979,2856
1308,2849
3030,2839
2805,2838
3734,2819
4627,2816
4486,2805
3143,2790
4813,2788
2945,2773
4615,2766
4172,2764
4030,2741
4728,2720
3524,2715
2681,2705
2040,2694
3471,2691
4651,2690
2171,2661
3803,2660
4514,2646
1629,2643
4680,2638
4405,2632
2620,2623
4554,2620
4349,2616
4804,2608
4103,2607
4290,2602
3517,2601
4477,2597
4721,2594
4601,2578
4558,2572
2834,2567
3851,2567
2148,2521
4084,2515
2122,2510
3546,2498
2423,2497
4546,2494
3982,2485
3561,2478
4135,2475
4838,2472
4810,2465
4550,2461
4353,2461
2064,2448
2622,2447
2274,2445
4802,2430
3713,2425
1634,2413
2704,2407
3680,2405
4841,2381
1982,2381
3681,2378
3653,2365
2299,2361
4730,2356
4657,2355
4398,2339
4525,2334
4507,2330
4496,2325
1518,2318
3222,2316
4039,2308
3955,2298
4115,2286
3154,2275
3333,2264
4823,2253
2517,2248
3206,2244
3744,2243
2047,2240
4785,2227
4339,2223
4316,2218
2613,2217
2529,2209
3562,2202
4656,2198
4488,2187
2270,2187
3820,2174
4145,2173
1887,2172
3811,2158
4849,2151
4714,2149
2932,2148
3863,2143
4501,2143
3714,2135
4492,2128
3251,2113
4572,2103
4204,2090
4355,2084
2935,2082
4185,2078
1211,2064
4287,2064
3046,2055
4763,2038
2152,2020
4812,2018
4666,2004
4151,1991
2464,1986
4845,1983
3009,1974
4141,1969
3887,1955
4000,1949
2217,1944
3285,1940
3613,1938
4846,1931
3394,1906
3507,1902
3010,1899
4129,1898
3137,1872
2936,1868
4604,1861
4781,1846
4673,1843
1756,1840
4123,1819
2845,1808
4302,1805
4852,1800
3897,1776
4803,1774
3548,1764
4081,1759
2530,1759
2949,1757
2341,1750
3956,1744
4438,1740
3610,1738
2889,1736
4805,1725
3547,1719
800,1702
4296,1696
4779,1682
4748,1677
4734,1674
4209,1674
4836,1670
4487,1663
2413,1660
4816,1659
4620,1641
4541,1640
3388,1633
1342,1620
2611,1604
4617,1601
2624,1594
2616,1584
3448,1579
3052,1574
2750,1573
3420,1571
3247,1568
4328,1539
4736,1539
4534,1527
4755,1518
4341,1509
4791,1498
4544,1497
4667,1490
4560,1488
3583,1487
4732,1487
2110,1486
4796,1480
3452,1459
2886,1455
4844,1453
4093,1439
2002,1439
4413,1438
4654,1431
4557,1421
2916,1420
3664,1418
2542,1413
4840,1412
4510,1412
4205,1405
4811,1394
2928,1388
1494,1386
4346,1383
4720,1381
3156,1377
3604,1376
4505,1368
3861,1364
4100,1358
2100,1358
4830,1355
4351,1348
4825,1331
4750,1326
4751,1306
2435,1306
4171,1303
4516,1301
3408,1299
4659,1289
1962,1284
4421,1276
3807,1260
2011,1260
1869,1256
3867,1250
6047,1249
4835,1246
2098,1239
2647,1234
4735,1225
3724,1225
3850,1223
2905,1216
4788,1197
4472,1178
4480,1172
4538,1170
4159,1154
4340,1139
3743,1135
4853,1131
1111,1128
4526,1111
3746,1106
709,1100
3175,1093
3665,1092
4797,1089
4401,1080
4847,1068
2053,1067
1230,1064
3102,1064
3062,1030
4532,1027
2412,1027
4690,1007
3565,1005
2531,1003
9793,978
3564,966
2796,964
4737,960
4198,950
3508,943
2862,935
4777,893
4158,890
4771,882
4837,868
2839,858
1135,856
4819,855
2507,853
4396,848
3364,847
2058,845
4161,839
4356,831
4193,827
4822,827
4357,800
4248,800
2574,784
3796,782
4724,781
1943,779
4308,773
2847,765
4754,756
4652,751
1632,740
2323,730
2239,720
4504,718
1004,695
4843,686
2738,686
9198,671
4827,668
4851,667
4600,662
4213,661
4848,659
4515,656
3983,644
4605,632
4826,630
4319,630
8317,626
3780,623
4539,611
8707,605
3462,602
4722,596
3241,594
8709,592
4402,590
7749,585
3447,560
4490,548
4252,523
3427,516
3527,514
4616,511
335,503
3225,503
5178,500
3960,499
4537,497
4218,495
3646,490
2390,483
8636,470
4478,464
3520,462
4655,455
4545,426
1526,423
1772,420
4137,411
4125,411
4839,410
4780,405
4335,399
4772,394
4765,390
9650,383
4800,380
4363,376
4176,372
2008,367
3390,361
4806,360
1218,360
3121,355
3563,342
4304,338
4842,326
5688,322
4004,317
1751,315
4762,311
2892,301
4857,281
3702,274
3806,272
2836,270
2878,270
4610,270
3683,260
2701,258
2447,257
5632,254
9980,252
3672,244
4493,234
4634,225
4342,224
4863,219
4397,201
3921,198
3483,189
2971,180
2214,180
4101,180
4767,179
1495,178
3327,171
4077,171
4719,167
3923,166
2925,161
2844,156
4696,156
4783,155
3446,155
6077,151
4831,150
2890,147
2074,147
3679,135
4799,135
4288,132
4561,131
4908,128
4710,121
2283,113
3389,109
4739,107
3644,107
4029,104
4764,93
9794,93
3312,91
4828,90
9985,90
3309,90
1420,90
2569,90
4786,90
2761,90
4154,90
4675,90
8712,88
3116,87
4671,83
4366,81
4130,81
7482,80
4701,79
4619,76
1768,76
4718,71
5561,70
4518,67
4422,66
4521,65
5562,64
4153,60
4310,59
3908,55
4562,54
4740,49
4723,49
4725,46
8710,44
3650,42
3204,34
3919,33
4865,32
4637,31
9199,30
4789,30
9030,30
7486,30
2942,27
2293,26
4794,23
4829,19
4784,18
4036,17
2840,16
4439,15
4743,14
4527,14
2817,12
4499,11
8318,11
4747,11
4336,10
4818,10
4317,8
4433,7
4792,6
1881,3
4260,2
4692,2
4482,1
7628,1
3868,1
10634,1
5180,1
