PlayerID,errors
11373,3
20559,3
5748,2
11341,2
13988,2
16286,2
10564,2
66378,2
4640,2
10079,2
13703,2
3752,2
12136,2
10905,1
13549,1
14732,1
54312,1
11347,1
19731,1
26151,1
12937,1
3312,1
2886,1
4158,1
16642,1
6712,1
13248,1
4495,1
4136,1
5754,1
3807,1
13389,1
4198,1
4330,1
50234,1
21584,1
3309,1
5682,1
7548,1
20810,1
13554,1
8245,1
50165,1
26220,1
13274,1
66494,1
4985,1
5066,1
4664,1
14897,1
4509,1
9566,1
4245,1
11284,1
3909,1
54889,1
5859,1
32923,1
8900,1
45351,1
10768,1
39606,1
10458,1
13796,1
20745,1
5178,1
4852,1
20224,1
14538,1
12707,1
5220,1
5064,1
26216,1
4505,1
8143,1
4979,1
20486,1
5140,1
13815,1
3929,1
