PlayerID,errors
3719,7
252,6
2309,4
2250,3
1218,3
1751,3
2607,2
3629,2
3239,2
3739,2
1361,2
1890,2
2651,2
2413,2
3618,2
2798,2
1664,2
3280,2
2070,2
2980,2
3624,2
3737,2
2916,1
3127,1
2704,1
3126,1
3513,1
2645,1
2098,1
1458,1
1889,1
557,1
1494,1
2976,1
2671,1
1629,1
1676,1
3463,1
3621,1
1391,1
2125,1
1004,1
1184,1
1932,1
2934,1
2393,1
2932,1
1420,1
2054,1
335,1
3488,1
2758,1
1437,1
3143,1
2516,1
1230,1
3506,1
1342,1
3222,1
1947,1
1627,1
2075,1
1515,1
2382,1
800,1
2982,1
2574,1
2359,1
3738,1
3136,1
1042,1
3082,1
2011,1
3762,1
2634,1
3734,1
2867,1
2728,1
3069,1
2911,1
1404,1
1780,1
3311,1
1505,1
3158,1
1849,1
3186,1
2007,1
1412,1
3027,1
1131,1
2935,1
2279,1
2749,1
