PlayerID,errors
2651,6
2537,5
4664,5
3143,4
8045,3
12444,3
6058,3
12136,3
11347,2
11260,2
3719,2
4112,2
4810,2
3170,2
8044,2
6194,2
25311,2
3995,2
3251,2
4179,2
5859,2
3869,2
4640,2
12192,2
12707,2
2508,2
4081,1
9167,1
4093,1
5595,1
4474,1
5721,1
5668,1
4634,1
4341,1
2620,1
9576,1
4430,1
13491,1
4495,1
3600,1
3010,1
10766,1
2889,1
3807,1
9251,1
2423,1
3799,1
6451,1
3601,1
4340,1
1943,1
7946,1
6609,1
5713,1
10564,1
5272,1
7103,1
3644,1
8976,1
4030,1
13872,1
3830,1
5583,1
5066,1
8888,1
3837,1
4813,1
19608,1
4290,1
5334,1
11177,1
4287,1
3861,1
5375,1
9960,1
3979,1
3909,1
4246,1
4472,1
4821,1
3811,1
15202,1
3934,1
6251,1
4796,1
3158,1
3157,1
8878,1
10498,1
3517,1
10964,1
4816,1
4403,1
