PlayerID,PlayerName,PlayerShortName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
3471,Marc Wilson,Wilson,Midfielder,14175,2,5,3,1,11
2607,Manuel Almunia,Almunia,Goalkeeper,8808,0,8,3,0,11
2728,Nedum Onuoha,Onuoha,Defender,11323,1,2,5,3,11
2847,Craig Gardner,Gardner,Midfielder,15404,4,2,4,1,11
3014,Mark Noble,Noble,Midfielder,30867,5,4,1,1,11
3507,Danny Rose,Rose,Defender,15915,2,6,3,0,11
3680,Fabricio Coloccini,Coloccini,Defender,18638,4,3,2,2,11
9257,Jamaal Lascelles,Lascelles,Defender,12582,1,4,4,2,11
3956,Kyle Naughton,Naughton,Defender,14205,3,4,2,2,11
4112,Eric Dier,Dier,Defender,19869,0,6,4,1,11
915,Jamie Carragher,Carragher,Defender,15441,1,1,6,3,11
8900,Tyrone Mings,Mings,Defender,10148,1,4,2,3,10
2125,Sylvain Distin,Distin,Defender,22786,0,5,4,1,10
2100,James Milner,Milner,Midfielder,28956,3,3,3,1,10
12707,Ederson,Ederson,Goalkeeper,16257,1,6,3,0,10
4985,Bernd Leno,Leno,Goalkeeper,8977,1,8,0,1,10
2148,Glen Johnson,Johnson,Defender,23599,1,3,4,2,10
2075,Zat Knight,Knight,Defender,11795,1,5,3,1,10
4081,Charlie Adam,Adam,Midfielder,13212,4,4,0,2,10
4911,Thibaut Courtois,Courtois,Goalkeeper,11224,2,3,5,0,10
2867,Martin Olsson,Olsson,Defender,15934,2,4,3,1,10
2911,Pepe Reina,Reina,Goalkeeper,20603,1,6,2,1,10
1308,Gareth Barry,Barry,Midfielder,30091,3,3,3,1,10
3239,Benoit Assou-Ekotto,Assou-Ekotto,Defender,11736,2,4,4,0,10
19589,Jan Bednarek,Bednarek,Defender,11367,1,3,3,3,10
4505,John Stones,Stones,Defender,15443,1,8,1,0,10
4779,Maarten Stekelenburg,Stekelenburg,Goalkeeper,4896,0,9,0,1,10
3010,James Collins,Collins,Defender,20302,2,3,3,2,10
2413,Gaël Clichy,Clichy,Defender,22794,1,4,4,1,10
1890,Titus Bramble,Bramble,Defender,12419,1,4,3,2,10
1911,Damien Delaney,Delaney,Defender,10701,1,3,3,3,10
8966,Wes Morgan,Morgan,Defender,14328,3,2,3,2,10
4248,Carl Jenkinson,Jenkinson,Defender,6621,3,2,4,1,10
3160,Craig Cathcart,Cathcart,Defender,15061,0,5,0,4,9
6451,Martin Dúbravka,Dubravka,Goalkeeper,11430,0,9,0,0,9
20479,Wilfred Ndidi,Ndidi,Midfielder,14191,2,1,6,0,9
4333,Michael Keane,Keane,Defender,18658,1,3,2,3,9
5859,Luka Milivojevic,Milivojevic,Midfielder,13381,1,5,2,1,9
2805,Michael Dawson,Dawson,Defender,17378,1,5,2,1,9
9566,Harry Maguire,Maguire,Defender,17400,2,3,3,1,9
3170,Fraser Forster,Forster,Goalkeeper,11984,0,8,1,0,9
2991,Tom Huddlestone,Huddlestone,Midfielder,16095,5,1,2,1,9
20224,Davinson Sánchez,Sanchez,Defender,10021,1,2,4,2,9
3029,Paul Scharner,Scharner,Defender,13828,1,5,2,1,9
4496,César Azpilicueta,Azpilicueta,Defender,27855,2,1,3,3,9
26216,Çaglar Söyüncü,Soyuncu,Defender,7723,1,3,5,0,9
1420,Brad Friedel,Friedel,Goalkeeper,18154,1,7,1,0,9
2279,Stephen Warnock,Warnock,Defender,14012,0,5,3,1,9
1575,Steven Gerrard,Gerrard,Midfielder,19763,1,4,2,2,9
2508,Kasper Schmeichel,Schmeichel,Goalkeeper,25504,0,7,0,2,9
4804,Fernandinho,Fernandinho,Midfielder,20174,4,0,4,1,9
2609,Johan Djourou,Djourou,Defender,5454,1,3,4,1,9
4813,Dejan Lovren,Lovren,Defender,13163,0,7,2,0,9
4821,Erik Pieters,Pieters,Defender,18297,0,5,3,1,9
3624,Kamil Zayatte,Zayatte,Defender,4613,0,2,3,4,9
4610,Jos Hooiveld,Hooiveld,Defender,2303,0,2,2,4,8
3251,Adrian Mariappa,Mariappa,Defender,12022,1,4,2,1,8
3604,Marouane Fellaini,Fellaini,Midfielder,18688,3,1,4,0,8
4183,Ahmed El Mohamady,Mohamady,Defender,14375,1,2,4,1,8
8897,Aaron Cresswell,Cresswell,Defender,22143,1,6,1,0,8
4816,Victor Wanyama,Wanyama,Midfielder,10910,3,5,0,0,8
3806,Roger Johnson,Johnson,Defender,9423,0,2,3,3,8
4136,Conor Coady,Coady,Midfielder,13508,0,3,2,3,8
1131,Matt Upson,Upson,Defender,12641,0,2,4,2,8
4340,Paul Dummett,Dummett,Defender,11416,1,2,3,2,8
2393,Anton Ferdinand,Ferdinand,Defender,12480,0,3,2,3,8
3070,Christopher Samba,Samba,Defender,13668,3,0,4,1,8
10079,Nick Pope,Pope,Goalkeeper,12654,0,5,3,0,8
3820,Phil Jones,Jones,Defender,15866,0,1,5,2,8
2669,Emmerson Boyce,Boyce,Defender,13651,1,2,4,1,8
3561,Nathan Baker,Baker,Defender,6053,0,3,2,3,8
2890,Michael Essien,Essien,Midfielder,7931,2,3,2,1,8
2871,Ali Al Habsi,Habsi,Goalkeeper,9990,0,6,1,1,8
4651,Chico Flores,Flores,Defender,4931,3,2,2,1,8
11293,Serge Aurier,Aurier,Defender,6305,2,1,4,1,8
3512,Adam Smith,Smith,Defender,11410,1,1,5,1,8
2704,Mikel Arteta,Arteta,Midfielder,16739,3,1,2,2,8
4024,Mike Williamson,Williamson,Defender,11497,2,3,3,0,8
4605,Maya Yoshida,Yoshida,Defender,12386,1,6,1,0,8
5514,Angelo Ogbonna,Ogbonna,Defender,15036,0,2,5,1,8
4218,Antolín Alcaraz,Alcaraz,Defender,6916,2,3,2,1,8
3524,Maynor Figueroa,Figueroa,Defender,18433,1,4,3,0,8
5713,José Holebas,Holebas,Defender,9653,1,3,4,0,8
2129,Chris Baird,Baird,Defender,10154,1,0,3,4,8
2738,Paul McShane,McShane,Defender,7965,1,3,1,2,7
4084,Jason David Ian Puncheon,Puncheon,Midfielder,14749,1,6,0,0,7
4351,Ryan Bennett,Bennett,Defender,8967,0,2,3,2,7
3979,James McCarthy,McCarthy,Midfielder,20913,1,1,4,1,7
3009,Danny Gabbidon,Gabbidon,Defender,7060,0,2,3,2,7
13274,Ezri Konsa,Konsa,Defender,7718,2,2,3,0,7
2435,Steven Reid,Reid,Defender,7714,0,2,4,1,7
2013,Liam Ridgewell,Ridgewell,Defender,15548,1,4,1,1,7
2011,Boaz Myhill,Myhill,Goalkeeper,10564,0,6,1,0,7
2749,David Wheater,Wheater,Defender,8336,3,1,2,1,7
12937,Eric Bailly,Bailly,Defender,4979,1,1,3,2,7
2611,Mathieu Flamini,Flamini,Midfielder,7082,1,5,0,1,7
19605,Christian Kabasele,Kabasele,Defender,8128,3,0,3,1,7
10968,Ben Godfrey,Godfrey,Defender,7360,1,2,2,2,7
11347,Cédric Soares,Soares,Defender,12570,0,6,1,0,7
851,Shay Given,Given,Goalkeeper,12048,0,5,0,2,7
4726,David Marshall,Marshall,Goalkeeper,4770,0,6,0,1,7
3920,Paul Pogba,Pogba,Midfielder,12290,2,1,4,0,7
3739,Leon Barnett,Barnett,Defender,2701,1,3,2,1,7
1230,Aaron Hughes,Hughes,Defender,17250,0,5,0,2,7
4600,Paulo Gazzaniga,Gazzaniga,Goalkeeper,3804,0,6,1,0,7
49884,Issa Diop,Diop,Defender,8077,0,2,3,2,7
4608,Luke Shaw,Shaw,Defender,16581,1,2,3,1,7
5140,Virgil van Dijk,Dijk,Defender,17403,1,3,3,0,7
4617,James Ward-Prowse,Ward-Prowse,Midfielder,20690,2,1,3,1,7
